GraphID,riskBasedDefence,defenceInDepth,behavioralDefender,minCut,betweennessCentralityWithInDegreeNodes,betweennessCentralityWithAdjacentNodes,betweennessCentralityWithMarkovBlanket,betweennessCentralityWithMinCut,harmonicCentralityWithInDegreeNodes,harmonicCentralityWithAdjacentNodes,harmonicCentralityWithMarkovBlanket,harmonicCentralityWithMinCut,degreeCentralityWithInDegreeNodes,degreeCentralityWithAdjacentNodes,degreeCentralityWithMarkovBlanket,degreeCentralityWithMinCut,katzCentralityWithInDegreeNodes,katzCentralityWithAdjacentNodes,katzCentralityWithMarkovBlanket,katzCentralityWithMinCut,TRCentralityWithInDegreeNodes,TRCentralityWithAdjacentNodes,TRCentralityWithMinCut,PRCentralityWithInDegreeNodes,PRCentralityWithAdjacentNodes,PRCentralityWithMarkovBlanket,PRCentralityWithMinCut
graph72,20.329653010654106,20.329653010654106,20.329653010654106,25.225726482521537,38.11187545263409,32.27574428593813,24.207211320486515,24.599750017060774,45.268605061739855,34.0388530980121,24.88693029748169,25.168353744442555,45.45044361797574,33.8556233987298,24.846563596655354,25.214011758599376,45.155758157512466,33.88144064180517,24.730932990853212,25.111113576478395,45.211484090783934,33.933418364127974,25.109014459896915,44.48310880940747,33.61973115390273,24.52540351804372,25.111716595153833
graph71,13.491502184321991,13.491502184321991,13.49150218432208,22.77266375903054,30.625773435569148,22.7558309525528,18.546299497432752,21.3495304367741,30.440184564729506,21.28060182008566,16.683574901321467,22.615978049818164,30.485607160111982,21.255657018756892,16.72196045299213,22.709465057293457,29.630678526543992,20.74538490903337,16.25510041080796,22.54108095159652,29.683308399327835,20.786100471346565,22.543304627341083,28.694597833541145,20.22173517586929,15.734307670246478,22.394639654915757
graph74,12.64021500524328,12.64021500524328,12.640215005243263,12.86694073219808,35.66844653687394,29.42443394844846,22.679340070711344,11.547951721500171,44.60155598596492,33.533890005135326,26.120733318308258,12.70537359027907,44.46936269980506,33.476588816705465,26.08508417125751,12.564960183052456,44.76527679766537,33.57030990201935,26.13940577797974,12.786765916601938,44.76962580384704,33.574984204881105,12.786612473930465,44.25109568368348,33.42388842144246,25.908532728128836,12.960155996654604
graph73,21.187237225468973,21.187237225468973,21.18723722546894,26.22179188086295,36.43221916523802,26.912901593766524,19.673365929696686,18.966977149317735,60.094423412613374,40.15656158809418,28.651732747214982,26.14760783099241,58.08662583006783,38.817712473664905,27.479530932272382,25.797424821041044,59.90697049074627,39.95711901994281,28.552022748487527,26.188208212696395,59.89561420727816,39.94554818713577,26.191071288818762,59.311985627325804,39.68511966367459,28.06837332917842,26.140834526462804
graph69,22.119921692859766,22.119921692859766,22.119921692859766,18.737781220197153,45.396532342181395,38.919527353522575,33.62125772710453,17.228125816740157,59.3830239981611,45.13198683825818,36.069931849478095,18.722264656398874,58.086625830067796,44.2168793981726,35.11929283503578,18.440397758175433,59.41912019427391,44.93719207442008,35.85818959373883,18.746921794967513,59.476225124418846,44.97012275153136,18.757090133743866,60.543869480481014,45.649031025140175,36.46233682166064,18.911946304234622
graph68,29.165752904763444,29.165752904763444,29.165752904763444,31.206007058551773,73.61200482200707,59.89069269455642,51.751491154697696,33.341906021283826,76.84253613523451,58.703725593424124,51.05340961083239,31.822223085046968,76.03489635582255,57.95378886679393,49.649009854566984,31.269051261134944,75.65428315461796,57.54661039550821,50.3389519189286,31.298863940778737,75.73746344919896,57.636129874635486,31.354752020965066,76.56835524702296,58.37473292809544,50.74759971909173,31.600608379762367
ABSNP,11.622907608652616,11.622907608652616,11.622907608652138,12.302536532177324,7.140571596847148,9.92106270431675,4.833015629408673,6.9971109950907024,5.637183094202944,5.039644719416488,2.798716108736819,4.831959232070615,18.996314212242122,18.479268317695468,13.644577436633842,8.788735452104168,18.461976198139922,18.00665248607439,13.159354994755859,8.869692970640203,18.029119873614206,17.578809814241012,8.749867614220946,32.71380046553331,32.05697062095258,23.43938015157211,12.426461746108226
ASFS3,4.0500237654553946,4.0500237654553946,4.0500237654553946,8.477418385769546,10.907400850764075,7.528002656694987,5.76021360004832,9.096395323564863,10.288661415874683,6.138389344872177,4.470501672457347,7.714789581156564,10.987345021711919,6.9207961867610575,5.080492283105087,8.6169562966795,10.333487053321939,6.575447956320744,4.836938400755754,8.394074907860642,10.383483862396018,6.585122465528117,8.399069404407895,9.514950300392798,6.413862462416732,4.725757760811698,8.297799666943694
graph65,24.2534871603027,24.2534871603027,24.2534871603027,33.92410557676232,69.49431235542853,52.03761076771456,46.07827314334202,37.485097715086404,70.42193903315898,49.706329968259574,40.003025955348555,35.037281582492966,69.16348321034168,48.455586661079124,37.86871640768385,34.63543065314881,70.19254578077822,49.47329298974571,39.48336657100296,35.29441339148453,70.19690624445387,49.4826288992443,35.30426357030238,74.65087679307882,53.14644513975223,44.0745644290352,35.421482491174736
graph64,10.09197464754927,10.09197464754927,10.09197464754927,13.846288641471254,36.31176292550607,29.08942843559561,24.337698185776706,17.040627382222613,32.870021175166656,24.163181937892585,19.51468925331097,13.867688266691236,31.432977647541037,22.900381374110335,18.223537740005444,13.199512403654074,32.206255042791874,23.5226007407601,18.90981292710862,13.651680260280735,32.33790272890255,23.652194002653765,13.758272345516648,32.60902470634507,23.790221299505408,19.49227397123218,13.878235137913105
